time,seconds_elapsed,x,z,y
1790028497904524000,0.11452392578125,-0.08379705995321274,-0.011971008032560349,0.17238251864910126
1790028497924543700,0.134543701171875,-0.08140286058187485,-0.18914192914962769,-0.004788403399288654
1790028497934453500,0.14445361328125,-0.12928688526153564,-0.090979665517807,0.004788403399288654
1790028497944232700,0.154232666015625,-0.22266076505184174,-0.08858546614646912,0.06464344263076782
1790028497954012000,0.164011962890625,-0.13168109953403473,-0.0933738648891449,0.10055647045373917
1790028497964052200,0.17405224609375,-0.19393034279346466,-0.05985504388809204,0.12928688526153564
1790028497974062000,0.18406201171875,-0.06464344263076782,-0.05267243832349777,0.05985504388809204
1790028497994051000,0.204051025390625,-0.24181437492370605,-0.05267243832349777,0.1412578970193863
1790028498044069400,0.2540693359375,-0.15322890877723694,0.090979665517807,-0.181959331035614
1790028498054018000,0.26401806640625,-0.08140286058187485,0.05506663769483566,0.05267243832349777
1790028498063997200,0.2739970703125,-0.12210428714752197,0.002394201699644327,0.16759411990642548
1790028498073976600,0.2839765625,-0.1388636976480484,0.0454898327589035,0.21547815203666687
1790028498084047400,0.29404736328125,-0.05746084079146385,0.0071826050989329815,0.002394201699644327
1790028498094057000,0.304056884765625,0.10534487664699554,0.15801730751991272,-0.14365209639072418
1790028498104036400,0.314036376953125,-0.12449848651885986,0.009576806798577309,-0.17477671802043915
1790028498114076700,0.32407666015625,-0.12449848651885986,-0.10295066982507706,-0.0694318488240242
1790028498124086300,0.334086181640625,-0.3256114423274994,-0.05746084079146385,0.014365210197865963
1790028498134065700,0.344065673828125,-0.2561795711517334,-0.08858546614646912,0.0933738648891449
1790028498154054700,0.3640546875,-0.05746084079146385,-0.090979665517807,0.10055647045373917
1790028498174074000,0.38407421875,-0.2106897532939911,-0.035913024097681046,0.16998831927776337
1790028498184084000,0.394083984375,-0.14604631066322327,0.014365210197865963,0.22505496442317963
1790028498194093600,0.404093505859375,-0.10295066982507706,-0.09576806426048279,0.19393034279346466
1790028498204073000,0.414072998046875,-0.14844051003456116,-0.08858546614646912,0.12928688526153564
1790028498214113300,0.42411328125,-0.24899697303771973,-0.07422025501728058,0.20350714027881622
1790028498224092400,0.434092529296875,-0.08858546614646912,-0.06703764945268631,0.1628057211637497
1790028498234102300,0.444102294921875,-0.16759411990642548,-0.09816227108240128,0.15083470940589905
1790028498254121700,0.464121826171875,-0.31364041566848755,-0.1173158809542656,0.19632454216480255
1790028498264101000,0.47410107421875,-0.2753331959247589,-0.040701430290937424,0.0454898327589035
1790028498274110700,0.48411083984375,-0.19632454216480255,-0.10773907601833344,0.15801730751991272
1790028498284090000,0.494090087890625,-0.1843535304069519,-0.17477671802043915,0.040701430290937424
1790028498294099700,0.504099609375,-0.3758896589279175,-0.24899697303771973,0.07182604819536209
1790028498304109600,0.514109619140625,-0.2298433631658554,-0.2561795711517334,0.07182604819536209
1790028498314119400,0.524119384765625,-0.19871874153614044,-0.12689268589019775,0.10534487664699554
1790028498324129000,0.53412890625,-0.15801730751991272,-0.20350714027881622,0.026336219161748886
1790028498334139000,0.544138916015625,-0.1388636976480484,-0.3423708379268646,0.08858546614646912
1790028498344118000,0.554117919921875,-0.07661445438861847,-0.19871874153614044,0.090979665517807
1790028498364137700,0.5741376953125,-0.19393034279346466,-0.23942017555236816,-0.1149216815829277
1790028498374116900,0.584116943359375,-0.26575639843940735,-0.24181437492370605,-0.07422025501728058
1790028498384126700,0.594126708984375,-0.17956513166427612,-0.2298433631658554,-0.031124621629714966
1790028498394105900,0.60410595703125,-0.11013327538967133,-0.07182604819536209,0.011971008032560349
1790028498404115700,0.61411572265625,-0.16998831927776337,-0.06703764945268631,-0.004788403399288654
1790028498414125300,0.624125244140625,-0.17238251864910126,-0.05267243832349777,0.031124621629714966
1790028498424104700,0.634104736328125,-0.15083470940589905,-0.026336219161748886,0.05027823522686958
1790028498434083800,0.644083740234375,-0.0694318488240242,-0.031124621629714966,-0.016759412363171577
1790028498454103600,0.664103515625,-0.2106897532939911,-0.11252748221158981,0.035913024097681046
1790028498474092500,0.684092529296875,-0.1628057211637497,0.11013327538967133,-0.016759412363171577
1790028498484102100,0.69410205078125,-0.2059013396501541,-0.07422025501728058,-0.10534487664699554
1790028498494081500,0.70408154296875,-0.2322375625371933,0.023942016065120697,0.08858546614646912
1790028498504091100,0.714091064453125,-0.3232172429561615,-0.026336219161748886,0.08140286058187485
1790028498514101000,0.72410107421875,-0.2082955539226532,0.06703764945268631,0.0071826050989329815
