time,seconds_elapsed,z,y,x
1790032076097451000,-0.903549072265625,-0.16519992053508759,0,0.15083470940589905
1790032076127449900,-0.873550048828125,-0.12689268589019775,0.05746084079146385,-0.05746084079146385
1790032076137490200,-0.863509765625,-0.05027823522686958,0.08619125932455063,0.090979665517807
1790032076147500000,-0.8535,-0.014365210197865963,0.08140286058187485,0.08379705995321274
1790032076157479200,-0.843520751953125,0,0.1173158809542656,0.07422025501728058
1790032076167489000,-0.833510986328125,-0.009576806798577309,0.12210428714752197,0.10773907601833344
1790032076177498600,-0.82350146484375,-0.12210428714752197,0.08619125932455063,0
1790032076187508500,-0.813491455078125,-0.15083470940589905,0.05267243832349777,0.06464344263076782
1790032076197518300,-0.803481689453125,-0.1149216815829277,0.08140286058187485,0.05506663769483566
1790032076207497500,-0.79350244140625,-0.08858546614646912,0.12928688526153564,0.0454898327589035
1790032076227578000,-0.773421875,-0.05267243832349777,0,0.09816227108240128
1790032076237587700,-0.763412353515625,-0.16519992053508759,0.05746084079146385,0.06464344263076782
1790032076257607400,-0.743392578125,-0.10295066982507706,0.019153613597154617,0.14844051003456116
1790032076267617000,-0.733383056640625,-0.09816227108240128,-0.08140286058187485,0.13168109953403473
1790032076277596400,-0.723403564453125,0.05267243832349777,-0.043095629662275314,0.06464344263076782
1790032076287636700,-0.71336328125,0,0,0.1149216815829277
1790032076297616000,-0.703384033203125,0.021547814831137657,-0.035913024097681046,0.031124621629714966
1790032076307656200,-0.69334375,-0.033518824726343155,-0.08619125932455063,-0.035913024097681046
1790032076327675600,-0.673324462890625,-0.08140286058187485,-0.06464344263076782,-0.009576806798577309
1790032076347695000,-0.653304931640625,-0.1173158809542656,-0.004788403399288654,0.13168109953403473
1790032076357705000,-0.643294921875,-0.06703764945268631,-0.009576806798577309,0.16998831927776337
1790032076447884500,-0.553115478515625,0.11971008777618408,0.0933738648891449,0.043095629662275314
1790032076487893000,-0.51310693359375,0.035913024097681046,0.07661445438861847,0.0933738648891449
1790032076497902800,-0.50309716796875,-0.090979665517807,0.14604631066322327,-0.08619125932455063
1790032076507882000,-0.493117919921875,-0.011971008032560349,-0.07182604819536209,0.06464344263076782
1790032076517891800,-0.483108154296875,0.07900865375995636,-0.1843535304069519,0.028730420395731926
1790032076527871000,-0.47312890625,-0.06224924325942993,-0.0071826050989329815,0.040701430290937424
1790032076537941800,-0.463058349609375,0.10055647045373917,0.05027823522686958,0.2106897532939911
1790032076547921200,-0.453078857421875,0.12210428714752197,-0.009576806798577309,0.07182604819536209
1790032076557930800,-0.4430693359375,-0.09816227108240128,-0.1173158809542656,-0.14365209639072418
1790032076567940600,-0.433059326171875,0.09816227108240128,-0.10295066982507706,0.12210428714752197
1790032076577919700,-0.423080322265625,0.002394201699644327,0.22744916379451752,0.019153613597154617
1790032076597939500,-0.403060546875,-0.22505496442317963,-0.08379705995321274,-0.05027823522686958
1790032076607979800,-0.393020263671875,-0.11013327538967133,-0.19632454216480255,0.10773907601833344
1790032076617959000,-0.383041015625,0.011971008032560349,-0.2561795711517334,0.15083470940589905
1790032076627968800,-0.37303125,0.002394201699644327,-0.21547815203666687,0.07900865375995636
1790032076638039600,-0.36296044921875,0.19153612852096558,-0.0454898327589035,0.1388636976480484
1790032076668068900,-0.33293115234375,0.09576806426048279,-0.033518824726343155,0.12689268589019775
1790032076678048000,-0.322951904296875,0.07661445438861847,-0.19153612852096558,0.047884032130241394
1790032076688057900,-0.312942138671875,-0.14844051003456116,-0.21308395266532898,0.028730420395731926
1790032076698037000,-0.302962890625,-0.2513911724090576,-0.2513911724090576,0.016759412363171577
1790032076708046800,-0.292953125,-0.21308395266532898,-0.16998831927776337,-0.0071826050989329815
1790032076718056400,-0.282943603515625,-0.13168109953403473,0.0694318488240242,0.05506663769483566
1790032076728066300,-0.27293359375,-0.09576806426048279,-0.038307227194309235,0.06703764945268631
1790032076738106600,-0.262893310546875,-0.07661445438861847,-0.031124621629714966,-0.07900865375995636
1790032076768074800,-0.23292529296875,0.038307227194309235,0.19153612852096558,0.2082955539226532
1790032076778084600,-0.222915283203125,0.17956513166427612,0.12928688526153564,0.10773907601833344
1790032076788094500,-0.212905517578125,0.1412578970193863,0.016759412363171577,0.09576806426048279
1790032076798104000,-0.20289599609375,0.08379705995321274,0.2059013396501541,0.06224924325942993
1790032076808114000,-0.192885986328125,0.035913024097681046,0.2849099934101105,0.043095629662275314
1790032076818154200,-0.182845703125,0.05746084079146385,0.22505496442317963,-0.026336219161748886
1790032076828164000,-0.1728359375,-0.07900865375995636,0.016759412363171577,-0.1388636976480484
1790032076838143200,-0.162856689453125,-0.13407529890537262,-0.023942016065120697,0.0454898327589035
1790032076848183600,-0.15281640625,-0.13168109953403473,0.10534487664699554,-0.004788403399288654
1790032076858193200,-0.142806884765625,-0.08619125932455063,0.10773907601833344,-0.047884032130241394
1790032076868203000,-0.132796875,0.08140286058187485,0.0933738648891449,-0.043095629662275314
1790032076878212900,-0.122787109375,0.08619125932455063,0.033518824726343155,0.05506663769483566
1790032076888222500,-0.112777587890625,-0.06224924325942993,0.13168109953403473,0.0933738648891449
1790032076898232300,-0.102767578125,0.0454898327589035,0.07661445438861847,0.038307227194309235
1790032076908211700,-0.092788330078125,0.11252748221158981,-0.011971008032560349,-0.05985504388809204
1790032076918221300,-0.08277880859375,-0.026336219161748886,-0.028730420395731926,0.026336219161748886
1790032076928231200,-0.072768798828125,-0.10295066982507706,0.07422025501728058,-0.0694318488240242
1790032076938240800,-0.06275927734375,-0.2322375625371933,0.14365209639072418,0.07422025501728058
1790032076948250600,-0.052749267578125,-0.10295066982507706,0.08379705995321274,0.0454898327589035
1790032076958260500,-0.042739501953125,-0.07182604819536209,0.038307227194309235,0.08379705995321274
1790032076968270000,-0.03272998046875,0.05027823522686958,-0.1149216815829277,0.05027823522686958
1790032076978249500,-0.02275048828125,-0.10055647045373917,0.07422025501728058,0.08619125932455063
1790032076988259000,-0.012740966796875,0.028730420395731926,-0.009576806798577309,0.08379705995321274
1790032077008278800,0.00727880859375,-0.17717093229293823,-0.004788403399288654,0.019153613597154617
1790032077018258000,0.0172578125,-0.12210428714752197,0.07422025501728058,0.12689268589019775
1790032077028267800,0.027267822265625,-0.033518824726343155,0.035913024097681046,0.12449848651885986
1790032077038308000,0.03730810546875,-0.0454898327589035,0.13168109953403473,0.08858546614646912
1790032077048287200,0.047287353515625,0.05985504388809204,0.0071826050989329815,0.021547814831137657
1790032077058297000,0.057297119140625,0.016759412363171577,0.08858546614646912,0.10295066982507706
1790032077068276200,0.067276123046875,-0.019153613597154617,0.090979665517807,-0.07900865375995636
1790032077088296000,0.0872958984375,-0.07900865375995636,0.040701430290937424,0.06224924325942993
1790032077108285000,0.107284912109375,-0.090979665517807,0.11252748221158981,-0.014365210197865963
1790032077118325000,0.117324951171875,-0.10295066982507706,0.24899697303771973,0.031124621629714966
1790032077128334800,0.1273349609375,0.05985504388809204,0.17717093229293823,-0.026336219161748886
1790032077138375200,0.137375244140625,0.021547814831137657,0.026336219161748886,-0.10055647045373917
1790032077148385000,0.147385009765625,-0.035913024097681046,-0.05985504388809204,-0.019153613597154617
1790032077168404500,0.167404541015625,-0.11013327538967133,0.10773907601833344,-0.002394201699644327
1790032077178383600,0.177383544921875,-0.0454898327589035,0.2322375625371933,-0.028730420395731926
1790032077198403300,0.1974033203125,-0.07900865375995636,-0.08379705995321274,-0.033518824726343155
1790032077208413000,0.207412841796875,-0.26096799969673157,-0.014365210197865963,0.002394201699644327
1790032077218453200,0.217453369140625,-0.08858546614646912,0.023942016065120697,0.10534487664699554
1790032077228463000,0.227463134765625,0.10534487664699554,-0.026336219161748886,0.19393034279346466
1790032077238503400,0.23750341796875,0.14365209639072418,0.004788403399288654,0.1412578970193863
1790032077248482600,0.247482666015625,0.038307227194309235,-0.004788403399288654,-0.07182604819536209
1790032077288521700,0.287521728515625,-0.13407529890537262,-0.2585737705230713,0.016759412363171577
1790032077298531300,0.29753125,-0.20350714027881622,0.009576806798577309,-0.05746084079146385
1790032077308541200,0.307541259765625,-0.17956513166427612,0.15322890877723694,0.002394201699644327
1790032077318551000,0.317551025390625,-0.10055647045373917,0.20350714027881622,0.026336219161748886
1790032077328591000,0.327591064453125,0.05985504388809204,0.021547814831137657,0.13168109953403473
1790032077338570500,0.337570556640625,-0.06224924325942993,-0.12689268589019775,0.15562310814857483
1790032077348580400,0.347580322265625,0.031124621629714966,-0.12689268589019775,0.08379705995321274
1790032077358559500,0.3575595703125,0.13407529890537262,-0.014365210197865963,0.08619125932455063
1790032077388619300,0.387619384765625,-0.1628057211637497,0.12689268589019775,0.10295066982507706
1790032077398659600,0.39765966796875,-0.05506663769483566,0.07900865375995636,0.047884032130241394
1790032077408669400,0.40766943359375,-0.023942016065120697,-0.08379705995321274,0.05506663769483566
1790032077428689000,0.42768896484375,0.06703764945268631,-0.10773907601833344,0.016759412363171577
1790032077438698800,0.43769873046875,-0.05027823522686958,0.033518824726343155,0.014365210197865963
1790032077448708400,0.447708251953125,-0.06464344263076782,0.1843535304069519,0.05506663769483566
1790032077458748700,0.457748779296875,0.040701430290937424,0.17956513166427612,0.10773907601833344
1790032077478768000,0.47776806640625,-0.05506663769483566,-0.16519992053508759,-0.004788403399288654
1790032077488778000,0.487778076171875,-0.038307227194309235,-0.17717093229293823,0.07900865375995636
1790032077498787800,0.497787841796875,0,0.0694318488240242,0.033518824726343155
1790032077508797400,0.50779736328125,-0.05027823522686958,0.22026655077934265,0.05027823522686958
