time,seconds_elapsed,x,z,y
1790031824259313700,0.182313720703125,0.07900865375995636,-0.1843535304069519,0.17717093229293823
1790031824269293000,0.19229296875,-0.9911994934082031,-1.4987702369689941,1.8483237028121948
1790031824279303000,0.202302978515625,0.06464344263076782,-0.08619125932455063,0.08858546614646912
1790031824289312500,0.2123125,0.040701430290937424,-0.2825157940387726,0.08140286058187485
1790031824299091700,0.222091796875,0.07661445438861847,-0.17238251864910126,0.14604631066322327
1790031824308801500,0.231801513671875,0.12210428714752197,-0.16519992053508759,0.11252748221158981
1790031824318580700,0.241580810546875,0.2106897532939911,-0.1173158809542656,0.16759411990642548
1790031824328460000,0.2514599609375,0.23702596127986908,0.10773907601833344,0.10534487664699554
1790031824378478300,0.301478271484375,0.181959331035614,-0.031124621629714966,0.09576806426048279
1790031824388488200,0.31148828125,0.12689268589019775,-0.023942016065120697,0.12928688526153564
1790031824398528500,0.321528564453125,0.13407529890537262,-0.026336219161748886,0.15322890877723694
1790031824408507600,0.331507568359375,0.10534487664699554,0.002394201699644327,0.1364694982767105
1790031824418487000,0.341487060546875,-0.009576806798577309,-0.13168109953403473,0
1790031824428496600,0.35149658203125,0.08858546614646912,-0.0694318488240242,-0.090979665517807
1790031824438537000,0.361536865234375,0.10055647045373917,-0.16998831927776337,-0.016759412363171577
1790031824458526000,0.38152587890625,0.10295066982507706,-0.019153613597154617,0.11971008777618408
1790031824468535800,0.391535888671875,0.15322890877723694,0.08858546614646912,0.05746084079146385
1790031824478515000,0.401514892578125,0.09576806426048279,0.08379705995321274,0.08379705995321274
1790031824498534700,0.42153466796875,0.1388636976480484,0.08858546614646912,0.0454898327589035
1790031824508483300,0.4314833984375,0.17956513166427612,0.1173158809542656,-0.07182604819536209
1790031824518523600,0.441523681640625,0.11971008777618408,0.040701430290937424,-0.09816227108240128
1790031824528533200,0.451533203125,0.13407529890537262,0.07900865375995636,0.043095629662275314
1790031824548522200,0.471522216796875,0.10055647045373917,-0.014365210197865963,0.05506663769483566
1790031824558562600,0.4815625,-0.05027823522686958,-0.002394201699644327,0
1790031824568542000,0.4915419921875,0.05985504388809204,-0.009576806798577309,0.10295066982507706
1790031824578551600,0.501551513671875,0.11013327538967133,0.026336219161748886,0.05985504388809204
1790031824588561400,0.5115615234375,0.09816227108240128,-0.009576806798577309,-0.05267243832349777
1790031824598540500,0.52154052734375,-0.05506663769483566,-0.014365210197865963,0.05027823522686958
1790031824608520000,0.53152001953125,0.06703764945268631,-0.011971008032560349,-0.038307227194309235
1790031824618499000,0.5414990234375,0.1604115068912506,-0.016759412363171577,0.014365210197865963
1790031824628478500,0.551478515625,0.033518824726343155,0.1364694982767105,-0.05027823522686958
1790031824638518800,0.561518798828125,-0.009576806798577309,-0.014365210197865963,-0.002394201699644327
1790031824668547800,0.5915478515625,-0.028730420395731926,0.0694318488240242,-0.014365210197865963
1790031824678557700,0.6015576171875,0.026336219161748886,-0.17238251864910126,0.009576806798577309
1790031824688537000,0.611537109375,0.09576806426048279,-0.011971008032560349,0.11013327538967133
1790031824698546700,0.621546630859375,0.1173158809542656,0,0.021547814831137657
1790031824708495400,0.631495361328125,0.0694318488240242,0.026336219161748886,0
1790031824718535700,0.64153564453125,0.019153613597154617,-0.07900865375995636,-0.028730420395731926
1790031824728545500,0.651545654296875,0.1173158809542656,0.05746084079146385,-0.10773907601833344
1790031824738555400,0.661555419921875,0.07182604819536209,0.0933738648891449,-0.05985504388809204
1790031824758544400,0.68154443359375,-0.07182604819536209,0.0071826050989329815,0.038307227194309235
1790031824768523500,0.6915234375,0.07182604819536209,-0.038307227194309235,-0.08140286058187485
1790031824778533400,0.701533447265625,0.09816227108240128,-0.10295066982507706,-0.05267243832349777
1790031824788482000,0.71148193359375,0.0933738648891449,0.0071826050989329815,-0.035913024097681046
1790031824798522400,0.7215224609375,0.040701430290937424,-0.07661445438861847,-0.0454898327589035
1790031824808532000,0.731531982421875,0.10773907601833344,-0.16998831927776337,-0.035913024097681046
1790031824818511400,0.741511474609375,0.10055647045373917,-0.09576806426048279,-0.05746084079146385
1790031824828521200,0.751521240234375,0.05027823522686958,-0.016759412363171577,-0.05267243832349777
1790031824838530800,0.76153076171875,0.17717093229293823,0.004788403399288654,0.06224924325942993
1790031824848510200,0.77151025390625,0.07422025501728058,0.021547814831137657,0.0694318488240242
1790031824878508800,0.8015087890625,0.05506663769483566,0.2346317619085312,0.016759412363171577
1790031824888518700,0.8115185546875,-0.05267243832349777,0.031124621629714966,0.0071826050989329815
1790031824898497800,0.821497802734375,0.019153613597154617,-0.12689268589019775,-0.002394201699644327
1790031824908538000,0.8315380859375,0,-0.10055647045373917,-0.021547814831137657
